category,brand,product_rating,customer_reviews_count,rating_rank,review_count_rank,combined_rank
Baby Care,Bella,4.43125,982,9.0,12.0,21.0
Baby Care,Johnson's baby,4.391666666666667,1333,14.0,8.0,22.0
Baby Care,Dabur,4.418181818181818,645,10.0,13.0,23.0
Baby Care,Mee Mee,4.204878048780488,2003,22.0,3.0,25.0
Baby Care,Morison Baby Dreams,5.0,245,1.0,27.5,28.5
Baby Care,Pampers ,4.185714285714286,3160,29.0,2.0,31.0
Baby Care,Mamypoko,4.204545454545454,1208,23.0,9.0,32.0
Baby Care,Sirona,4.475,254,7.0,25.0,32.0
Baby Care,Sebamed,4.4,352,12.0,22.0,34.0
Baby Care,Nestle ,4.3875,355,15.0,21.0,36.0
Baby Care,Huggies,4.113432835820895,3561,36.0,1.0,37.0
Baby Care,Dexolac,4.525,165,4.0,34.0,38.0
Baby Care,Himalaya Baby,4.183333333333334,999,30.0,11.0,41.0
Baby Care,bigbasket,4.3,206,18.0,31.0,49.0
Baby Care,Himalaya,4.045454545454546,1498,44.0,6.0,50.0
Baby Care,Johnsons,4.1571428571428575,393,31.0,19.0,50.0
Baby Care,Similac,4.433333333333334,117,8.0,42.0,50.0
Baby Care,Baby Dove,4.333333333333333,163,16.0,35.0,51.0
Baby Care,Early Foods,4.125,498,35.0,16.0,51.0
Baby Care,Enfamil A+,4.4,131,12.0,40.0,52.0
Baby Care,The Moms Co,3.93125,1710,48.0,4.0,52.0
Baby Care,Amul,4.5,86,5.5,47.0,52.5
Baby Care,Mamaearth,3.9366666666666665,1495,47.0,7.0,54.0
Baby Care,Bebe,4.2,202,26.0,32.0,58.0
Baby Care,BIOTIQUE,4.65,65,3.0,56.0,59.0
Baby Care,Chicco,3.821739130434783,1133,53.0,10.0,63.0
Baby Care,Bodyguard,4.1499999999999995,225,34.0,30.0,64.0
Baby Care,Dabur Amla,4.5,60,5.5,58.5,64.0
Baby Care,Santoor,4.3,91,18.0,46.0,64.0
Baby Care,Aptamil,4.266666666666667,92,20.0,45.0,65.0
Baby Care,MyGlamm,4.25,99,21.0,44.0,65.0
Baby Care,Quick Dry,3.857142857142857,567,50.0,15.0,65.0
Baby Care,Cetaphil ,4.7,41,2.0,64.0,66.0
Baby Care,Pigeon Baby,2.942857142857143,1645,64.0,5.0,69.0
Baby Care,Slurrp Farm,3.825,478,52.0,17.0,69.0
Baby Care,Timios,3.8625,382,49.0,20.0,69.0
Baby Care,Vauva,3.6346153846153846,598,56.0,14.0,70.0
Baby Care,Horlicks,4.3,69,18.0,53.5,71.5
Baby Care,Comfort,4.4,58,12.0,60.0,72.0
Baby Care,Paw Paw,3.1545454545454548,422,60.0,18.0,78.0
Baby Care,Mothercare ,3.85,245,51.0,27.5,78.5
Baby Care,Vilvaa,4.0,178,45.5,33.0,78.5
Baby Care,Pigeon,3.56,342,57.0,23.0,80.0
Baby Care,bb Combo,4.05,149,43.0,37.0,80.0
Baby Care,Poop-cee,4.075,135,42.0,39.0,81.0
Baby Care,SimMom,4.15,79,32.5,49.0,81.5
Baby Care,Dimpu Poop-Cee,3.3600000000000003,314,59.0,24.0,83.0
Baby Care,Aveeno,4.08,111,41.0,43.0,84.0
Baby Care,Morisons Baby Dreams,3.7125,235,55.0,29.0,84.0
Baby Care,BTN Sports,4.2,60,26.0,58.5,84.5
Baby Care,Kare In,4.15,70,32.5,52.0,84.5
Baby Care,1st Bites,4.1,84,38.5,48.0,86.5
Baby Care,Canopus,4.2,47,26.0,62.0,88.0
Baby Care,Patanjali,4.1,73,38.5,50.0,88.5
Baby Care,Teddyy,4.2,46,26.0,63.0,89.0
Baby Care,Manna ,4.1,71,38.5,51.0,89.5
Baby Care,Bella baby Happy,4.2,36,26.0,65.0,91.0
Baby Care,Munchkin,1.65,252,65.0,26.0,91.0
Baby Care,Seni,3.4,156,58.0,36.0,94.0
Baby Care,PRISTINE,4.1,63,38.5,57.0,95.5
Baby Care,Bionova,3.0,140,62.0,38.0,100.0
Baby Care,Freshones,4.0,66,45.5,55.0,100.5
Baby Care,Luvlap,3.0,130,62.0,41.0,103.0
Baby Care,Friends,3.75,69,54.0,53.5,107.5
Baby Care,Softsens,3.0,51,62.0,61.0,123.0
"Bakery, Cakes & Dairy",Fresho Signature,4.203030303030303,2813,16.0,2.0,18.0
"Bakery, Cakes & Dairy",Britannia,4.165217391304347,1927,26.0,5.0,31.0
"Bakery, Cakes & Dairy",Winkies,4.2615384615384615,573,11.0,23.0,34.0
"Bakery, Cakes & Dairy",Happy Milk,4.55,327,3.0,34.0,37.0
"Bakery, Cakes & Dairy",President,4.35,257,5.0,36.0,41.0
"Bakery, Cakes & Dairy",Hello Tempayy,4.775,234,2.0,40.0,42.0
"Bakery, Cakes & Dairy",Millet Cookies,4.172727272727273,606,23.0,21.0,44.0
"Bakery, Cakes & Dairy",Nandini,4.095833333333333,1080,34.0,10.0,44.0
"Bakery, Cakes & Dairy",Sunfeast,4.25,405,13.0,32.0,45.0
"Bakery, Cakes & Dairy",Bon & Bread,4.190909090909091,521,22.0,25.0,47.0
"Bakery, Cakes & Dairy",Nestle ,4.3,221,7.5,41.0,48.5
